,FORMULA,stabilityVec,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
52,Ag0.9 Ne0.1,0.0,Ag0.9 Ne0.1,10.0,47.0,37.0,43.300000000000004,6.659999999999997,47.0,65.0,99.0,34.0,68.4,6.1200000000000045,65.0,20.1791,107.8682,87.6891,99.09929000000001,15.784037999999995,107.8682,24.56,1234.93,1210.3700000000001,1113.893,217.86660000000006,1234.93,11.0,18.0,7.0,11.700000000000001,1.260000000000001,11.0,2.0,5.0,3.0,4.7,0.5399999999999998,5.0,58.0,145.0,87.0,136.3,15.659999999999993,145.0,,,,,,1.93,1.0,2.0,1.0,1.1,0.18000000000000008,1.0,0.0,6.0,6.0,0.6000000000000001,1.08,0.0,0.0,10.0,10.0,9.0,1.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,10.700000000000001,0.5399999999999991,11.0,0.0,1.0,1.0,0.9,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,0.18,1.0,12.64,16.33,3.6899999999999977,15.960999999999999,0.6641999999999997,16.33,0.0,13.088,13.088,1.3088,2.35584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
52,Ag0.8 Ne0.2,0.0,Ag0.8 Ne0.2,10.0,47.0,37.0,39.6,11.84,47.0,65.0,99.0,34.0,71.8,10.879999999999999,65.0,20.1791,107.8682,87.6891,90.33038,28.060512000000003,107.8682,24.56,1234.93,1210.3700000000001,992.8560000000001,387.3184,1234.93,11.0,18.0,7.0,12.4,2.24,11.0,2.0,5.0,3.0,4.4,0.9599999999999999,5.0,58.0,145.0,87.0,127.6,27.840000000000003,145.0,,,,,,1.93,1.0,2.0,1.0,1.2000000000000002,0.3200000000000001,1.0,0.0,6.0,6.0,1.2000000000000002,1.9200000000000002,0.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,10.4,0.9599999999999999,11.0,0.0,1.0,1.0,0.8,0.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.32,1.0,12.64,16.33,3.6899999999999977,15.592,1.1807999999999983,16.33,0.0,13.088,13.088,2.6176,4.18816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
52,Ag0.7 Ne0.3,0.0,Ag0.7 Ne0.3,10.0,47.0,37.0,35.9,15.54,47.0,65.0,99.0,34.0,75.2,14.280000000000001,65.0,20.1791,107.8682,87.6891,81.56147,36.829422,107.8682,24.56,1234.93,1210.3700000000001,871.8190000000001,508.35540000000003,1234.93,11.0,18.0,7.0,13.099999999999998,2.939999999999999,11.0,2.0,5.0,3.0,4.1,1.2600000000000002,5.0,58.0,145.0,87.0,118.9,36.53999999999999,145.0,,,,,,1.93,1.0,2.0,1.0,1.2999999999999998,0.41999999999999993,1.0,0.0,6.0,6.0,1.7999999999999998,2.5199999999999996,0.0,0.0,10.0,10.0,7.0,4.199999999999999,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,10.1,1.2600000000000002,11.0,0.0,1.0,1.0,0.7,0.42000000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.42000000000000004,1.0,12.64,16.33,3.6899999999999977,15.222999999999997,1.5497999999999996,16.33,0.0,13.088,13.088,3.9263999999999997,5.49696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
52,Ag0.6 Ne0.4,0.0,Ag0.6 Ne0.4,10.0,47.0,37.0,32.2,17.759999999999998,47.0,65.0,99.0,34.0,78.6,16.32,65.0,20.1791,107.8682,87.6891,72.79256,42.090768,107.8682,24.56,1234.93,1210.3700000000001,750.7819999999999,580.9776000000002,1234.93,11.0,18.0,7.0,13.8,3.3600000000000003,11.0,2.0,5.0,3.0,3.8,1.44,5.0,58.0,145.0,87.0,110.2,41.760000000000005,145.0,,,,,,1.93,1.0,2.0,1.0,1.4,0.48,1.0,0.0,6.0,6.0,2.4000000000000004,2.88,0.0,0.0,10.0,10.0,6.0,4.800000000000001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,9.8,1.44,11.0,0.0,1.0,1.0,0.6,0.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.48,1.0,12.64,16.33,3.6899999999999977,14.854,1.771199999999999,16.33,0.0,13.088,13.088,5.2352,6.28224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
52,Ag0.5 Ne0.5,0.0,Ag0.5 Ne0.5,10.0,47.0,37.0,28.5,18.5,10.0,65.0,99.0,34.0,82.0,17.0,65.0,20.1791,107.8682,87.6891,64.02365,43.84455,20.1791,24.56,1234.93,1210.3700000000001,629.745,605.1850000000001,24.56,11.0,18.0,7.0,14.5,3.5,11.0,2.0,5.0,3.0,3.5,1.5,2.0,58.0,145.0,87.0,101.5,43.5,58.0,,,,,,,1.0,2.0,1.0,1.5,0.5,1.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,9.5,1.5,8.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,12.64,16.33,3.6899999999999977,14.485,1.8449999999999989,12.64,0.0,13.088,13.088,6.544,6.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
52,Ag0.4 Ne0.6,0.0,Ag0.4 Ne0.6,10.0,47.0,37.0,24.8,17.76,10.0,65.0,99.0,34.0,85.4,16.32,99.0,20.1791,107.8682,87.6891,55.25474,42.090768,20.1791,24.56,1234.93,1210.3700000000001,508.708,580.9776,24.56,11.0,18.0,7.0,15.2,3.3600000000000003,18.0,2.0,5.0,3.0,3.2,1.44,2.0,58.0,145.0,87.0,92.8,41.760000000000005,58.0,,,,,,,1.0,2.0,1.0,1.6,0.48,2.0,0.0,6.0,6.0,3.5999999999999996,2.88,6.0,0.0,10.0,10.0,4.0,4.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,9.2,1.44,8.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.48,0.0,12.64,16.33,3.6899999999999977,14.116,1.771199999999999,12.64,0.0,13.088,13.088,7.852799999999999,6.28224,13.088,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
52,Ag0.3 Ne0.7,0.0,Ag0.3 Ne0.7,10.0,47.0,37.0,21.1,15.54,10.0,65.0,99.0,34.0,88.8,14.280000000000001,99.0,20.1791,107.8682,87.6891,46.48582999999999,36.829421999999994,20.1791,24.56,1234.93,1210.3700000000001,387.671,508.3554,24.56,11.0,18.0,7.0,15.899999999999999,2.9400000000000004,18.0,2.0,5.0,3.0,2.9,1.2599999999999998,2.0,58.0,145.0,87.0,84.1,36.53999999999999,58.0,,,,,,,1.0,2.0,1.0,1.7,0.42000000000000004,2.0,0.0,6.0,6.0,4.199999999999999,2.5200000000000005,6.0,0.0,10.0,10.0,3.0,4.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,8.899999999999999,1.2599999999999993,8.0,0.0,1.0,1.0,0.3,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.42,0.0,12.64,16.33,3.6899999999999977,13.746999999999998,1.5497999999999983,12.64,0.0,13.088,13.088,9.161599999999998,5.49696,13.088,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
52,Ag0.2 Ne0.8,0.0,Ag0.2 Ne0.8,10.0,47.0,37.0,17.4,11.84,10.0,65.0,99.0,34.0,92.2,10.879999999999999,99.0,20.1791,107.8682,87.6891,37.71692,28.060512000000003,20.1791,24.56,1234.93,1210.3700000000001,266.634,387.31840000000005,24.56,11.0,18.0,7.0,16.6,2.2399999999999993,18.0,2.0,5.0,3.0,2.6,0.9600000000000001,2.0,58.0,145.0,87.0,75.4,27.840000000000003,58.0,,,,,,,1.0,2.0,1.0,1.8,0.32,2.0,0.0,6.0,6.0,4.800000000000001,1.9199999999999997,6.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,8.600000000000001,0.9600000000000009,8.0,0.0,1.0,1.0,0.2,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.32000000000000006,0.0,12.64,16.33,3.6899999999999977,13.378000000000002,1.1808000000000003,12.64,0.0,13.088,13.088,10.4704,4.18816,13.088,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
52,Ag0.1 Ne0.9,0.0,Ag0.1 Ne0.9,10.0,47.0,37.0,13.7,6.66,10.0,65.0,99.0,34.0,95.60000000000001,6.119999999999994,99.0,20.1791,107.8682,87.6891,28.948009999999996,15.784037999999999,20.1791,24.56,1234.93,1210.3700000000001,145.597,217.8666,24.56,11.0,18.0,7.0,17.3,1.2599999999999993,18.0,2.0,5.0,3.0,2.3,0.5399999999999998,2.0,58.0,145.0,87.0,66.7,15.660000000000004,58.0,,,,,,,1.0,2.0,1.0,1.9000000000000001,0.1799999999999999,2.0,0.0,6.0,6.0,5.4,1.0799999999999996,6.0,0.0,10.0,10.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,8.3,0.5400000000000006,8.0,0.0,1.0,1.0,0.1,0.18000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.18000000000000002,0.0,12.64,16.33,3.6899999999999977,13.009,0.6641999999999997,12.64,0.0,13.088,13.088,11.7792,2.3558399999999997,13.088,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
52,Ne1,1.0,Ne1,10.0,10.0,0.0,10.0,0.0,10.0,99.0,99.0,0.0,99.0,0.0,99.0,20.1791,20.1791,0.0,20.1791,0.0,20.1791,24.56,24.56,0.0,24.56,0.0,24.56,18.0,18.0,0.0,18.0,0.0,18.0,2.0,2.0,0.0,2.0,0.0,2.0,58.0,58.0,0.0,58.0,0.0,58.0,,,,,,,2.0,2.0,0.0,2.0,0.0,2.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.64,12.64,0.0,12.64,0.0,12.64,13.088,13.088,0.0,13.088,0.0,13.088,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0
